fold,accuracy train,accuracy test,precision,recall,f1_score
1,0.6548117154811716,0.6666666666666666,0.4222222222222222,0.45583333333333337,0.42333333333333334
2,0.6924686192468619,0.5185185185185185,0.3825,0.37357142857142855,0.3747459893048128
3,0.6430062630480167,0.5283018867924528,0.6478937728937729,0.475297619047619,0.47685591435591435
4,0.6471816283924844,0.5660377358490566,0.45534290271132377,0.48854166666666665,0.46394966394966397
5,0.6597077244258872,0.5283018867924528,0.5344298245614035,0.47738095238095235,0.47320261437908495
6,0.6471816283924844,0.5471698113207547,0.44318181818181823,0.47291666666666665,0.44751301330248694
7,0.6576200417536534,0.5471698113207547,0.41193609022556393,0.47291666666666665,0.4379310344827586
8,0.6784968684759917,0.5283018867924528,0.5353832442067736,0.5736607142857143,0.5401948924731182
9,0.6597077244258872,0.7169811320754716,0.7083616138763198,0.7181547619047619,0.7099137931034483
10,0.6617954070981211,0.5660377358490566,0.41845366909305526,0.4864583333333333,0.44568452380952384
Average,0.660197762074056,0.5713487071977639,0.49597051579722534,0.49947321428571423,0.4793324772494145
