fold,accuracy train,accuracy test,precision,recall,f1_score
1,0.6028880866425993,0.5967741935483871,0.4342592592592592,0.46418650793650795,0.43257943606780813
2,0.6173285198555957,0.5,0.34754867046533716,0.376984126984127,0.352952880761557
3,0.5956678700361011,0.5645161290322581,0.36296296296296293,0.43472222222222223,0.3954248366013072
4,0.6407942238267148,0.5967741935483871,0.4163742690058479,0.4741071428571429,0.43959519291587607
5,0.5613718411552346,0.5,0.40841073271413825,0.3580357142857143,0.34373774373774374
6,0.6299638989169675,0.5161290322580645,0.3623524623524624,0.368452380952381,0.35385878489326766
7,0.6234234234234234,0.45901639344262296,0.3121102327624067,0.36974206349206346,0.3303118908382066
8,0.6522522522522523,0.5573770491803278,0.3475484660267269,0.40823412698412703,0.3689619347514084
9,0.5945945945945946,0.5901639344262295,0.4314102564102564,0.4507936507936508,0.4269524513426952
10,0.6504504504504505,0.5409836065573771,0.3948489010989011,0.4301587301587302,0.4062980030721966
Average,0.6168735161153933,0.5421734531993654,0.38178262130582985,0.4135416666666667,0.38506731549820666
