fold,accuracy train,accuracy test,precision,recall,f1_score
1,0.6569037656903766,0.5925925925925926,0.4707924836601307,0.5114583333333333,0.4898897058823529
2,0.7280334728033473,0.5,0.38949579831932774,0.43125,0.406524926686217
3,0.6889352818371608,0.5849056603773585,0.5605128205128205,0.43547619047619046,0.4524055089572331
4,0.697286012526096,0.6792452830188679,0.7385265700483091,0.6816964285714285,0.6923076923076923
5,0.7181628392484343,0.6415094339622641,0.7044997486173957,0.6504464285714285,0.6693722943722944
6,0.697286012526096,0.6415094339622641,0.6121848739495799,0.5763392857142857,0.564484126984127
7,0.7160751565762005,0.6226415094339622,0.5244444444444445,0.4579761904761904,0.4541669183529649
8,0.7390396659707724,0.660377358490566,0.6496606334841629,0.6501488095238095,0.6482683982683983
9,0.7202505219206681,0.7358490566037735,0.608008658008658,0.5878571428571429,0.5912985461372557
10,0.7432150313152401,0.6037735849056604,0.416035816035816,0.41210317460317464,0.41106321839080456
Average,0.7105187760414393,0.6262403913347309,0.5674161847080644,0.5394751984126984,0.5379781336339341
