fold,accuracy train,accuracy test,precision,recall,f1_score
1,0.6694560669456067,0.6111111111111112,0.46738095238095234,0.525,0.48719444369082177
2,0.6736401673640168,0.5,0.32614718614718613,0.3458333333333333,0.32406657669815564
3,0.6826722338204593,0.6037735849056604,0.37012987012987014,0.41500000000000004,0.3885252619870031
4,0.6743215031315241,0.6981132075471698,0.5319444444444444,0.603125,0.5638888888888889
5,0.6826722338204593,0.660377358490566,0.5071969696969697,0.5708333333333333,0.5329954954954954
6,0.7056367432150313,0.6792452830188679,0.6972222222222222,0.7038690476190476,0.6970588235294117
7,0.7223382045929019,0.5283018867924528,0.5541666666666667,0.4742559523809523,0.46488796488796486
8,0.697286012526096,0.660377358490566,0.42772556390977445,0.4575,0.4401369168356998
9,0.6743215031315241,0.6226415094339622,0.4759469696969697,0.5385416666666667,0.5008718395815169
10,0.7118997912317327,0.5849056603773585,0.6389285714285714,0.5412202380952381,0.5171230440967283
Average,0.6894244459779351,0.6148846960167715,0.4996789416723627,0.517517857142857,0.4916749255691686
