fold,accuracy train,accuracy test,precision,recall,f1_score
1,0.43501805054151627,0.43548387096774194,0.29408212560386476,0.28888888888888886,0.23741851642247794
2,0.4891696750902527,0.46774193548387094,0.26383801383801386,0.31180555555555556,0.2638018112156043
3,0.5234657039711191,0.43548387096774194,0.23777777777777778,0.28750000000000003,0.2515389082462253
4,0.4223826714801444,0.3870967741935484,0.3,0.2908730158730159,0.2505876160525117
5,0.44404332129963897,0.3870967741935484,0.5719780219780219,0.34037698412698414,0.34825889011935524
6,0.4657039711191336,0.46774193548387094,0.3730769230769231,0.3337301587301587,0.3026695526695527
7,0.5099099099099099,0.4262295081967213,0.22152777777777777,0.2826388888888889,0.24189814814814817
8,0.42342342342342343,0.4098360655737705,0.15485739750445635,0.2708333333333333,0.1857558637219654
9,0.43243243243243246,0.4098360655737705,0.15204678362573099,0.27777777777777773,0.1897144822841417
10,0.5027027027027027,0.4262295081967213,0.30185185185185187,0.28888888888888886,0.24152046783625733
Average,0.4648251861970273,0.42527763088313064,0.28710366730344183,0.2973313492063492,0.251316425671624
