characteristic,node
148,0
148,1
148,2
148,3
148,4
147,0
147,2
147,4
146,0
146,2
146,3
145,0
145,2
145,3
144,0
144,1
144,2
143,0
143,1
143,2
142,0
142,1
142,4
141,4
140,0
140,1
140,2
140,3
140,4
139,3
139,4
138,0
138,1
138,2
138,3
137,0
137,1
137,2
137,4
136,0
136,1
136,2
136,3
135,0
135,1
135,2
135,4
134,0
134,1
134,2
134,3
134,4
133,0
133,1
133,2
133,4
132,0
132,1
132,2
132,3
132,4
131,0
131,1
131,2
131,4
130,1
130,2
130,3
130,4
129,1
129,2
129,3
129,4
128,0
128,1
128,2
128,3
128,4
127,0
127,1
127,2
126,0
126,1
125,0
125,1
124,1
124,4
123,0
123,3
123,4
122,2
122,3
122,4
121,0
121,1
121,2
121,3
120,0
120,1
120,2
119,0
119,2
119,3
119,4
118,0
118,1
118,4
117,0
117,3
117,4
116,0
116,3
116,4
115,1
115,2
115,4
114,1
114,2
114,4
113,0
113,2
113,3
113,4
112,4
111,0
111,1
111,3
111,4
110,0
110,2
109,0
109,2
109,3
108,0
108,1
108,2
108,3
108,4
107,0
107,1
107,3
107,4
106,0
106,1
106,2
106,3
105,0
105,1
105,2
105,3
105,4
104,0
104,3
104,4
103,2
103,4
102,0
102,1
102,2
102,3
101,0
101,3
100,0
100,1
100,3
100,4
99,0
99,4
98,0
98,2
96,0
96,2
96,3
96,4
95,0
95,1
95,2
95,3
94,2
94,3
94,4
93,2
93,4
92,0
92,1
91,0
91,1
91,4
90,1
90,2
90,3
90,4
89,0
89,1
89,2
89,4
88,0
88,1
88,3
87,0
87,1
87,3
87,4
86,0
86,1
86,4
85,1
85,3
84,0
84,3
84,4
83,0
83,2
83,3
83,4
82,0
82,1
82,2
82,4
81,0
81,2
81,3
81,4
80,0
80,2
80,3
80,4
79,0
79,2
79,3
78,2
78,4
77,0
77,1
77,3
77,4
76,3
76,4
75,0
75,1
75,2
75,3
74,0
74,3
74,4
73,0
73,2
72,0
72,1
72,2
72,4
71,0
71,1
71,2
71,3
71,4
70,0
70,1
70,2
70,3
70,4
69,1
69,2
69,3
68,0
68,3
68,4
67,0
67,2
67,3
66,1
66,4
65,0
65,2
65,4
64,0
64,1
64,2
64,3
63,0
63,1
63,3
63,4
62,0
62,1
62,2
61,0
61,2
61,3
60,1
60,2
60,3
59,0
59,1
59,2
59,3
59,4
58,0
58,1
58,2
58,3
58,4
57,1
57,2
57,3
56,0
56,1
56,3
55,3
54,0
54,3
54,4
53,0
53,1
53,2
53,3
53,4
52,0
52,1
52,2
51,0
51,3
51,4
50,0
50,1
50,2
50,3
50,4
49,0
49,3
49,4
48,3
48,4
47,0
47,1
47,4
46,0
46,1
45,0
45,2
45,4
44,3
44,4
43,0
43,1
43,2
43,4
42,3
42,4
41,0
41,2
41,4
40,0
40,2
40,3
40,4
39,1
39,4
38,1
38,3
37,0
37,2
37,4
36,0
36,2
36,3
36,4
35,2
35,3
35,4
34,0
34,3
34,4
33,3
32,0
32,1
32,3
31,0
31,4
30,1
30,3
30,4
29,1
29,2
29,3
29,4
28,0
28,1
28,2
28,3
28,4
27,0
27,2
27,3
26,0
26,2
26,3
25,1
24,1
24,2
24,3
24,4
23,0
23,1
23,2
23,4
22,0
22,1
22,2
22,3
22,4
20,1
20,3
19,0
19,1
19,2
19,3
19,4
18,2
18,3
18,4
17,0
17,1
17,2
17,4
16,0
16,1
16,4
14,1
14,2
14,4
13,0
13,1
13,2
13,3
12,0
12,1
12,2
12,3
12,4
11,0
11,1
10,0
10,1
10,2
10,3
9,0
9,1
9,2
9,4
8,0
8,2
8,3
8,4
7,1
7,2
7,3
6,1
6,3
5,0
5,1
5,2
5,3
4,2
4,3
4,4
3,0
3,2
3,3
3,4
2,2
2,3
1,0
1,1
1,4
1,1
