fold,accuracy train,accuracy test,precision,recall,f1_score
1,0.6884615384615385,0.5862068965517241,0.5179824561403509,0.5157142857142857,0.5070418470418471
2,0.6692307692307692,0.41379310344827586,0.36444444444444446,0.34464285714285714,0.3457912457912458
3,0.6634615384615384,0.5517241379310345,0.4826890756302521,0.47095238095238096,0.4704736995059576
4,0.6807692307692308,0.6724137931034483,0.5728438228438228,0.5955952380952381,0.5633049425732353
5,0.6846153846153846,0.6724137931034483,0.5726050420168066,0.5617857142857143,0.5587878787878788
6,0.6192307692307693,0.5862068965517241,0.4896103896103896,0.46797619047619043,0.45374517374517376
7,0.6730769230769231,0.5689655172413793,0.4446783625730994,0.49178571428571427,0.46571428571428564
8,0.6961538461538461,0.5,0.44222222222222224,0.42404761904761906,0.4129004329004329
9,0.6410748560460653,0.6491228070175439,0.6145082538944431,0.5504761904761905,0.5543927125506073
10,0.6679462571976967,0.5789473684210527,0.47023391812865495,0.5161904761904761,0.48012605042016804
Average,0.6684021113243762,0.577979431336963,0.49718179875044866,0.4939166666666666,0.48122782690308313
