fold,accuracy train,accuracy test,precision,recall,f1_score
1,0.9163179916317992,0.8148148148148148,0.8063596491228071,0.8205357142857144,0.8071428571428572
2,0.9016736401673641,0.7407407407407407,0.7339285714285714,0.7580357142857144,0.7418010752688172
3,0.906054279749478,0.7924528301886793,0.7979166666666666,0.7816964285714285,0.7884434449958644
4,0.906054279749478,0.8113207547169812,0.8200425305688464,0.8364583333333333,0.8189205191360365
5,0.9144050104384134,0.7547169811320755,0.7696516106442577,0.7504464285714285,0.7571934449958644
6,0.9123173277661796,0.6792452830188679,0.736111111111111,0.6848214285714286,0.7029569892473118
7,0.8977035490605428,0.8679245283018868,0.8818295739348372,0.8663690476190478,0.8698412698412699
8,0.9081419624217119,0.7358490566037735,0.7317890442890443,0.7549107142857143,0.7300350511557407
9,0.906054279749478,0.8679245283018868,0.8906957013574661,0.8875,0.8858280033370411
10,0.9164926931106472,0.6981132075471698,0.7010416666666667,0.7163690476190476,0.696863799283154
Average,0.9085215013845094,0.7763102725366877,0.7869366125790275,0.7857142857142858,0.7799026454403957
