fold,accuracy train,accuracy test,balanced accuracy,precision,recall,f1_score
1,0.5731922398589065,0.6031746031746031,0.4079931972789116,0.3782232260493131,0.4079931972789116,0.38307306728359364
2,0.5520282186948854,0.38095238095238093,0.23588435374149658,0.2287157287157287,0.23588435374149658,0.21458280281809694
3,0.562610229276896,0.5079365079365079,0.3128401360544218,0.37182539682539684,0.3128401360544218,0.3017977113325951
4,0.562610229276896,0.6825396825396826,0.43639455782312925,0.3949720914006628,0.43639455782312925,0.41026410564225685
5,0.5749559082892416,0.5714285714285714,0.37448979591836734,0.357312925170068,0.37448979591836734,0.3574829931972789
6,0.5414462081128748,0.49206349206349204,0.28154761904761905,0.21934065934065933,0.28154761904761905,0.24191139870582384
7,0.5608465608465608,0.5873015873015873,0.3984693877551021,0.36344330835782584,0.3984693877551021,0.36914399092970523
8,0.582010582010582,0.49206349206349204,0.3116496598639456,0.2781557067271353,0.3116496598639456,0.28092664092664094
9,0.5714285714285714,0.6507936507936508,0.4666666666666667,0.4197402597402598,0.4666666666666667,0.432574568288854
10,0.5379188712522046,0.47619047619047616,0.2857142857142857,0.2289554531490015,0.2857142857142857,0.2437083045778698
Average,0.5619047619047619,0.5444444444444445,0.3511649659863946,0.32406847554760515,0.3511649659863946,0.3235465583702715
