fold,accuracy train,accuracy test,balanced accuracy,precision,recall,f1_score
1,0.5714285714285714,0.5873015873015873,0.38877551020408163,0.34494232475598935,0.38877551020408163,0.3597604048731868
2,0.5767195767195767,0.5238095238095238,0.35433673469387755,0.4408532643826762,0.35433673469387755,0.34940352952775316
3,0.5696649029982364,0.6349206349206349,0.42551020408163265,0.5265079365079365,0.42551020408163265,0.431405406737475
4,0.5537918871252204,0.5873015873015873,0.38282312925170064,0.3472222222222222,0.38282312925170064,0.35748299319727883
5,0.5414462081128748,0.5396825396825397,0.31190476190476196,0.2470238095238095,0.31190476190476196,0.2665579958819492
6,0.5432098765432098,0.5079365079365079,0.2922619047619048,0.249025974025974,0.2922619047619048,0.2564625850340136
7,0.5767195767195767,0.5555555555555556,0.38061224489795925,0.3615646258503401,0.38061224489795925,0.35902494331065765
8,0.5485008818342152,0.49206349206349204,0.3001700680272109,0.2887955182072829,0.3001700680272109,0.2698313181071802
9,0.5326278659611993,0.5555555555555556,0.33333333333333337,0.26320346320346316,0.33333333333333337,0.2818268818268818
10,0.6084656084656085,0.5079365079365079,0.3700680272108844,0.3422410922410922,0.3700680272108844,0.33877551020408164
Average,0.5622574955908289,0.5492063492063493,0.3539795918367347,0.3411380230920785,0.3539795918367347,0.32705315687004577
