fold,accuracy train,accuracy test,balanced accuracy,precision,recall,f1_score
1,0.5361552028218695,0.5396825396825397,0.33630952380952384,0.30389924085576264,0.33630952380952384,0.3049235643220606
2,0.5537918871252204,0.49206349206349204,0.28869047619047616,0.21118012422360247,0.28869047619047616,0.2438513867085296
3,0.5573192239858906,0.42857142857142855,0.24583333333333332,0.2032967032967033,0.24583333333333332,0.21876118868600075
4,0.5291005291005291,0.5555555555555556,0.3534863945578231,0.3051948051948052,0.3534863945578231,0.3206956956956956
5,0.544973544973545,0.5555555555555556,0.3196428571428571,0.2398496240601504,0.3196428571428571,0.27346938775510204
6,0.5679012345679012,0.5396825396825397,0.3651360544217687,0.31208791208791214,0.3651360544217687,0.32603174603174606
7,0.5502645502645502,0.5396825396825397,0.318452380952381,0.2532223415682062,0.318452380952381,0.2764510455344929
8,0.5555555555555556,0.5238095238095238,0.3071428571428571,0.2346938775510204,0.3071428571428571,0.2618301238990894
9,0.5573192239858906,0.6190476190476191,0.37142857142857144,0.26555023923444976,0.37142857142857144,0.30933454462866233
10,0.5714285714285714,0.38095238095238093,0.2285714285714286,0.1788951788951789,0.2285714285714286,0.19626769626769627
Average,0.5523809523809524,0.5174603174603176,0.313469387755102,0.25078700469677917,0.313469387755102,0.27316163795290754
