fold,accuracy train,accuracy test,balanced accuracy,precision,recall,f1_score
1,0.6596119929453262,0.6825396825396826,0.5496598639455782,0.6001322751322752,0.5496598639455782,0.556259382305894
2,0.654320987654321,0.6984126984126984,0.5437074829931973,0.7484451032838129,0.5437074829931973,0.5833415491800584
3,0.6649029982363316,0.6349206349206349,0.44846938775510203,0.46907854050711195,0.44846938775510203,0.4487755695128967
4,0.6684303350970018,0.7301587301587301,0.5300170068027211,0.6891697588126159,0.5300170068027211,0.5382936507936508
5,0.6596119929453262,0.6666666666666666,0.5193027210884354,0.5945171546879621,0.5193027210884354,0.5423558008811465
6,0.6631393298059964,0.6666666666666666,0.5428571428571428,0.6467155067155067,0.5428571428571428,0.5500527797325827
7,0.671957671957672,0.6507936507936508,0.47585034013605443,0.5020408163265306,0.47585034013605443,0.47780065982830966
8,0.6807760141093474,0.49206349206349204,0.32193877551020406,0.31607651607651605,0.32193877551020406,0.30985297344744345
9,0.6649029982363316,0.7142857142857143,0.5571428571428572,0.5436507936507936,0.5571428571428572,0.5370439084724798
10,0.673721340388007,0.5714285714285714,0.4653061224489797,0.49956649326397223,0.4653061224489797,0.4572820037105751
Average,0.6661375661375661,0.6507936507936508,0.4954251700680272,0.5609392958457098,0.4954251700680272,0.5001058277865038
