fold,accuracy train,accuracy test,balanced accuracy,precision,recall,f1_score
1,0.6278659611992945,0.6031746031746031,0.4300170068027211,0.501777983920841,0.4300170068027211,0.41806091806091805
2,0.6261022927689595,0.5714285714285714,0.43180272108843537,0.5262083780880773,0.43180272108843537,0.42877534514363164
3,0.6296296296296297,0.6190476190476191,0.41096938775510206,0.39788497217068647,0.41096938775510206,0.39055172775143426
4,0.6208112874779541,0.6825396825396826,0.47465986394557824,0.5302019409162266,0.47465986394557824,0.46039956212370015
5,0.6243386243386243,0.6507936507936508,0.44532312925170064,0.5095238095238095,0.44532312925170064,0.4568061568061568
6,0.6190476190476191,0.6190476190476191,0.4601190476190476,0.5098351940457203,0.4601190476190476,0.4468204240760632
7,0.6261022927689595,0.6190476190476191,0.43656462585034017,0.4737274220032841,0.43656462585034017,0.4343972571537361
8,0.6296296296296297,0.5238095238095238,0.3594387755102041,0.3985714285714286,0.3594387755102041,0.3620601233841652
9,0.6137566137566137,0.6825396825396826,0.5119047619047619,0.4899659863945578,0.5119047619047619,0.48813303099017386
10,0.6278659611992945,0.5873015873015873,0.436734693877551,0.4856601731601731,0.436734693877551,0.4126707936700069
Average,0.6245149911816579,0.6158730158730159,0.43975340136054425,0.48233572887948045,0.43975340136054425,0.42986753391599863
