fold,accuracy train,accuracy test,balanced accuracy,precision,recall,f1_score
1,0.6507936507936508,0.6984126984126984,0.5591836734693877,0.7032682834406971,0.5591836734693877,0.5738321995464853
2,0.6472663139329806,0.6825396825396826,0.5341836734693878,0.7357910906298003,0.5341836734693878,0.5731374675474054
3,0.6525573192239859,0.6190476190476191,0.43775510204081636,0.45955473098330246,0.43775510204081636,0.4398854278553527
4,0.6578483245149912,0.7142857142857143,0.5210884353741497,0.693659281894576,0.5210884353741497,0.5307151307151308
5,0.654320987654321,0.6507936507936508,0.49889455782312925,0.5914115646258503,0.49889455782312925,0.5250064835318292
6,0.654320987654321,0.6666666666666666,0.5428571428571428,0.6532356532356532,0.5428571428571428,0.5514808362369339
7,0.6596119929453262,0.6507936507936508,0.47585034013605443,0.5100061842918986,0.47585034013605443,0.47967286170051154
8,0.673721340388007,0.49206349206349204,0.32193877551020406,0.31607651607651605,0.32193877551020406,0.30985297344744345
9,0.6507936507936508,0.7142857142857143,0.5571428571428572,0.5213718820861678,0.5571428571428572,0.533853666858593
10,0.6684303350970018,0.5714285714285714,0.4653061224489797,0.49956649326397223,0.4653061224489797,0.4572820037105751
Average,0.6569664902998237,0.6460317460317461,0.4914200680272109,0.5683941680528435,0.4914200680272109,0.49747190511502604
