fold,accuracy train,accuracy test,balanced accuracy,precision,recall,f1_score
1,0.8042328042328042,0.7301587301587301,0.5591836734693878,0.5780895691609977,0.5591836734693878,0.5564630298501266
2,0.8130511463844797,0.7301587301587301,0.6295918367346938,0.7051115182915272,0.6295918367346938,0.6535312512101614
3,0.8095238095238095,0.7142857142857143,0.5728741496598639,0.6266214177978885,0.5728741496598639,0.593914022485451
4,0.8306878306878307,0.6984126984126984,0.5242346938775511,0.5343837535014005,0.5242346938775511,0.510060433341418
5,0.8253968253968254,0.7142857142857143,0.6008503401360544,0.615579565159397,0.6008503401360544,0.598082869511441
6,0.7971781305114638,0.6825396825396826,0.6851190476190476,0.677579365079365,0.6851190476190476,0.6755952380952381
7,0.8112874779541446,0.7619047619047619,0.6170918367346939,0.6059218559218559,0.6170918367346939,0.6095330086057411
8,0.8165784832451499,0.6031746031746031,0.4677721088435374,0.44873876123876116,0.4677721088435374,0.4439383492954922
9,0.8112874779541446,0.7619047619047619,0.6666666666666667,0.8587563230420373,0.6666666666666667,0.6947827518104015
10,0.8324514991181657,0.6349206349206349,0.567687074829932,0.5277544351073763,0.567687074829932,0.5271829054202326
Average,0.8151675485008818,0.7031746031746031,0.5891071428571429,0.6178536564300606,0.5891071428571429,0.5863083859625704
